Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene00279	21	4	2	10	12	17	34	48	2
PH02Gene00280	1	1	1	0	4	0	5	0	0
PH02Gene00281	0	0	1	0	1	1	4	1	0
PH02Gene00282	4	4	0	1	2	0	0	0	0
PH02Gene00283	2	6	13	9	0	8	13	7	6
PH02Gene00284	2	0	2	12	12	0	9	0	0
PH02Gene00285	1	0	5	1	0	1	4	1	0
PH02Gene00286	0	0	1	1	0	0	8	7	0
PH02Gene00287	16	12	25	8	9	6	24	18	15
PH02Gene00288	8	2	0	4	3	2	1	14	0
PH02Gene00289	2	0	6	0	5	14	1	17	1
PH02Gene00290	2	4	3	6	5	2	4	0	2
PH02Gene00291	7	7	17	17	0	5	22	18	0
PH02Gene00292	18	8	10	20	8	5	7	13	0
PH02Gene00293	4	0	11	0	6	2	0	0	2
PH02Gene00294	13	42	15	16	10	1	14	0	14
PH02Gene00295	2	2	10	8	4	0	2	6	0
PH02Gene00296	46	15	15	16	12	15	20	25	20
PH02Gene00297	30	14	13	8	8	14	21	12	2
PH02Gene00298	65	112	78	38	68	49	29	46	67
PH02Gene00299	16	26	18	13	10	4	22	6	2
PH02Gene00300	16	55	49	0	37	31	13	36	62
PH02Gene00301	3	0	9	2	6	0	2	4	0
PH02Gene00302	0	1	12	5	15	6	6	19	0
PH02Gene00303	8	8	15	2	12	4	2	7	8
PH02Gene00304	52	35	13	28	32	29	62	52	17
PH02Gene00305	23	3	14	21	2	11	51	8	3
PH02Gene00306	2	0	12	18	11	2	6	1	0
PH02Gene00307	4	0	1	7	6	0	6	4	0
PH02Gene00308	4	0	34	5	22	1	10	19	2
PH02Gene00309	26	6	8	13	17	7	6	4	2
PH02Gene00310	0	0	11	7	13	0	10	6	0
PH02Gene00311	5	0	0	9	9	0	6	6	1
PH02Gene00312	0	1	1	3	0	0	9	2	0
PH02Gene00313	14	1	2	5	1	4	18	9	4
PH02Gene00314	9	4	14	1	13	8	16	22	2
PH02Gene00315	0	0	7	11	4	4	13	1	1
PH02Gene00316	0	0	14	2	1	0	1	3	0
PH02Gene00317	17	0	51	29	12	13	23	27	6
PH02Gene00318	4	0	12	5	2	6	18	5	0
PH02Gene00319	0	0	5	0	0	2	6	7	0
PH02Gene00320	6	0	12	8	8	2	6	0	0
PH02Gene00321	1	2	4	5	0	2	0	2	4
PH02Gene00322	10	1	5	9	5	1	4	7	0
PH02Gene00323	15	1	6	0	8	8	20	6	5
PH02Gene00324	14	6	13	6	23	12	4	21	3
PH02Gene00325	24	37	13	22	14	24	9	22	13
PH02Gene00326	0	0	11	6	14	5	2	6	1
PH02Gene00327	39	27	66	19	20	15	29	30	15
PH02Gene00328	5	2	4	9	16	1	7	7	0
PH02Gene00329	8	21	34	15	18	5	8	22	11
PH02Gene00330	9	4	16	16	24	8	8	20	5
PH02Gene00331	0	0	1	0	0	0	0	0	0
PH02Gene00332	2	20	6	0	25	6	5	16	8
PH02Gene00333	2	0	6	10	7	2	6	2	1
PH02Gene00334	6	0	0	5	0	2	0	9	0
PH02Gene00335	0	0	2	4	5	0	3	7	0
PH02Gene00336	2	0	24	6	17	10	5	14	6
PH02Gene00337	7	2	15	30	2	2	5	10	2
PH02Gene00338	138	64	147	100	88	63	76	125	46
PH02Gene00339	2	4	5	4	2	0	2	4	0
PH02Gene00340	14	0	2	5	6	4	4	6	0
PH02Gene00341	2	4	24	5	12	6	4	18	0
PH02Gene00342	4	3	2	0	1	3	4	2	0
PH02Gene00343	4	4	19	27	4	10	3	0	0
PH02Gene00344	4	0	6	6	2	0	2	0	0
PH02Gene00345	14	2	2	2	8	2	8	7	10
PH02Gene00346	5	0	5	2	0	3	2	2	0
