Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene29492	0	0	1	4	1	0	0	2	0
PH02Gene29493	0	0	0	2	1	0	1	1	1
PH02Gene29494	4	4	4	2	2	1	5	0	0
PH02Gene29495	6	4	13	18	10	5	2	6	0
PH02Gene29496	8	0	8	10	24	12	5	5	0
PH02Gene29497	1	0	2	0	8	0	1	1	0
PH02Gene29498	0	0	0	0	2	0	1	0	0
PH02Gene29499	21	1	10	22	25	0	11	19	1
PH02Gene29500	8	2	4	5	2	0	1	6	0
PH02Gene29501	3	22	43	4	48	12	11	28	10
PH02Gene29502	8	0	4	2	0	0	6	0	2
PH02Gene29503	0	0	0	0	0	0	0	0	0
PH02Gene29504	17	8	12	13	12	8	28	9	7
PH02Gene29505	20	8	26	45	22	8	31	32	6
PH02Gene29506	6	0	4	6	6	5	12	16	2
PH02Gene29508	20	0	17	10	11	1	24	5	0
PH02Gene29509	2	0	4	0	0	0	0	2	0
PH02Gene29510	4	0	10	11	3	11	10	12	1
PH02Gene29511	0	0	1	1	0	0	0	0	0
PH02Gene29512	1	0	0	4	4	0	1	0	0
PH02Gene29513	17	6	9	13	12	17	21	5	4
PH02Gene29514	3	4	0	1	0	0	1	0	0
PH02Gene29515	4	0	3	11	1	0	5	7	0
PH02Gene29516	2	0	17	12	3	4	15	18	1
PH02Gene29517	0	2	0	0	0	0	0	1	0
PH02Gene29518	4	0	3	3	4	0	6	0	0
PH02Gene29519	8	10	24	3	13	15	17	10	1
PH02Gene29520	2	2	8	0	6	4	9	10	4
PH02Gene29521	10	34	33	19	23	68	29	19	44
PH02Gene29522	177	2077	148	72	141	1760	103	205	702
PH02Gene29523	1	0	18	6	6	4	4	2	0
PH02Gene29524	6	0	7	3	8	7	7	0	0
PH02Gene29525	14	0	10	10	0	6	19	2	0
PH02Gene29526	0	0	2	5	8	0	5	0	0
PH02Gene29527	0	0	6	8	15	6	10	9	0
PH02Gene29528	4	0	6	0	6	0	5	4	2
PH02Gene29529	1	0	6	8	1	6	8	3	2
PH02Gene29530	8	0	6	1	0	0	3	1	0
PH02Gene29531	1	0	10	1	6	0	4	6	0
PH02Gene29532	26	0	28	7	41	6	16	39	1
PH02Gene29533	2	0	11	5	2	6	12	5	2
PH02Gene29534	21	0	35	7	11	12	13	11	0
PH02Gene29535	6	6	16	0	2	4	12	7	0
PH02Gene29536	9	0	2	0	10	1	11	5	0
PH02Gene29537	0	0	0	0	1	0	0	2	0
PH02Gene29538	0	3	0	6	3	0	4	2	0
PH02Gene29539	1	1	14	4	0	12	1	8	0
PH02Gene29540	6	0	13	16	6	6	4	2	0
PH02Gene29541	2	4	19	22	8	5	17	15	0
PH02Gene29542	0	0	2	4	0	0	2	0	0
PH02Gene29543	0	0	0	0	0	0	0	0	0
PH02Gene29544	4	0	1	1	0	0	1	4	0
PH02Gene29545	0	0	0	0	0	0	0	0	0
PH02Gene29546	6	0	14	2	4	4	15	6	0
PH02Gene29547	10	2	12	32	8	0	27	10	6
PH02Gene29548	2	0	6	0	6	0	0	0	0
PH02Gene29549	3	0	6	29	6	0	18	5	0
PH02Gene29550	6	2	10	10	2	0	5	2	4
PH02Gene29551	5	0	13	7	7	7	6	8	0
PH02Gene29552	38	14	43	17	36	20	21	21	16
PH02Gene29553	8	0	19	1	8	2	8	8	0
PH02Gene29554	0	0	0	0	0	0	0	0	0
PH02Gene29555	0	0	0	0	0	0	0	0	0
PH02Gene29556	0	0	0	0	0	0	0	1	0
PH02Gene29557	0	0	0	0	0	0	0	0	0
PH02Gene29558	1	0	3	4	11	8	6	3	2
PH02Gene29559	52	93	72	40	67	60	51	43	22
PH02Gene29560	42	23	62	53	49	5	33	57	13
PH02Gene29561	1	1	12	6	0	2	5	0	0
PH02Gene29562	0	0	5	0	1	0	3	4	10
PH02Gene29563	8	0	0	0	1	4	4	2	0
PH02Gene29564	1	0	0	11	4	2	10	0	0
PH02Gene29565	24	2	18	32	19	0	14	31	0
PH02Gene29566	6	0	11	2	0	0	6	4	2
PH02Gene29567	0	0	1	0	2	0	0	0	0
PH02Gene29568	14	3	10	12	29	4	18	11	40
PH02Gene29569	96	133	49	51	38	57	41	28	73
PH02Gene29570	55	165	51	37	36	63	53	39	46
PH02Gene29571	5	26	10	10	2	25	8	19	4
PH02Gene29572	1	1	20	2	4	0	2	10	0
PH02Gene29573	0	2	6	0	0	0	0	0	0
PH02Gene29574	2	2	12	8	20	2	14	2	2
PH02Gene29575	52	27	12	21	2	44	34	4	20
PH02Gene29576	2	3	1	5	1	3	4	5	0
PH02Gene29577	24	5	12	14	8	4	15	4	4
PH02Gene29578	0	2	21	1	0	1	5	6	0
PH02Gene29579	0	0	4	0	5	2	13	7	0
PH02Gene29580	8	2	13	4	12	6	15	20	8
PH02Gene29581	1	9	8	4	0	2	11	8	2
PH02Gene29582	2	1	2	12	10	0	7	5	4
PH02Gene29583	8	3	16	3	0	4	10	20	2
PH02Gene29584	4	0	6	5	0	0	2	2	0
PH02Gene29585	0	0	1	4	1	0	3	1	0
PH02Gene29586	2	0	1	4	1	0	6	1	0
PH02Gene29587	0	0	0	0	0	0	1	0	0
PH02Gene29588	0	0	1	0	0	0	0	0	0
PH02Gene29589	2	0	1	14	6	0	12	1	0
PH02Gene29590	20	6	14	9	12	5	19	18	6
PH02Gene29592	8	4	12	0	8	0	4	6	0
PH02Gene29593	8	0	6	10	23	4	14	2	0
PH02Gene29594	4	0	8	7	5	2	1	0	0
PH02Gene29595	8	6	3	9	14	18	1	25	1
PH02Gene29596	0	0	0	0	0	0	0	0	0
PH02Gene29597	0	0	6	4	4	1	3	5	0
PH02Gene29598	29	22	46	21	38	21	43	48	11
PH02Gene29599	6	6	0	5	2	2	2	2	6
PH02Gene29600	4	0	10	10	6	2	16	4	2
PH02Gene29601	0	0	6	10	2	0	3	1	0
PH02Gene29602	10	0	1	0	4	0	0	4	0
PH02Gene29603	14	6	12	3	16	9	13	21	4
PH02Gene29604	7	5	15	9	5	17	7	4	0
PH02Gene29605	4	0	0	0	0	0	0	0	0
PH02Gene29606	0	0	0	0	0	0	0	0	0
PH02Gene29607	0	0	0	0	0	0	0	0	0
PH02Gene29608	0	0	0	0	0	0	0	0	0
PH02Gene29609	1	0	0	0	0	0	0	0	0
PH02Gene29610	1	0	7	20	0	4	15	20	0
PH02Gene29611	0	0	2	0	0	0	0	1	0
PH02Gene29612	2	0	4	2	2	0	0	14	0
PH02Gene29613	0	0	0	0	0	0	0	0	0
PH02Gene29614	0	0	0	0	0	0	0	0	0
PH02Gene29615	0	0	0	0	0	0	0	0	0
PH02Gene29616	0	0	0	0	0	0	0	0	0
PH02Gene29617	0	0	0	0	0	0	0	0	0
PH02Gene29618	0	0	0	0	0	0	0	0	0
PH02Gene29619	0	0	0	0	1	0	0	0	0
PH02Gene29620	10	2	9	2	9	14	5	7	0
PH02Gene29621	23	11	61	53	37	41	47	52	8
PH02Gene29622	6	0	7	1	6	6	9	12	0
PH02Gene29623	199	30	46	91	18	64	135	30	13
PH02Gene29624	0	0	0	0	0	0	0	0	0
PH02Gene29625	2	0	3	6	12	6	15	4	4
PH02Gene29626	4	0	8	1	11	0	2	0	1
PH02Gene29627	0	0	2	4	0	2	5	0	0
PH02Gene29628	22	0	10	24	8	9	11	15	2
PH02Gene29629	4	0	4	2	3	1	11	4	0
PH02Gene29630	28	0	23	10	25	14	23	16	10
PH02Gene29631	3	5	12	11	7	0	15	19	0
PH02Gene29632	1	0	5	24	6	4	13	13	2
PH02Gene29633	4	0	4	6	6	0	2	1	0
PH02Gene29634	13	0	12	12	12	4	22	8	0
PH02Gene29635	10	0	0	10	4	1	39	5	0
PH02Gene29636	25	10	26	14	14	16	33	31	21
PH02Gene29637	1	0	1	0	0	0	0	2	0
PH02Gene29638	30	16	15	40	23	16	35	25	19
PH02Gene29639	0	3	2	0	4	2	3	4	0
PH02Gene29640	2	2	5	3	10	1	2	6	0
PH02Gene29641	1	2	1	0	18	0	8	0	0
PH02Gene29642	1	0	0	0	0	0	1	0	0
PH02Gene29643	0	0	0	0	0	0	0	0	0
PH02Gene29644	0	0	2	0	0	0	0	0	0
PH02Gene29645	12	0	4	4	6	2	4	8	0
PH02Gene29646	0	0	0	9	0	0	2	0	0
PH02Gene29647	0	0	0	0	0	0	0	0	2
PH02Gene29648	0	0	2	0	0	4	0	0	0
PH02Gene29649	9	19	18	7	0	8	10	8	12
PH02Gene29650	18	2	10	21	10	4	16	10	2
PH02Gene29651	0	0	0	0	0	0	0	0	0
PH02Gene29652	0	0	0	8	0	4	0	0	0
PH02Gene29653	599	367	635	342	489	226	403	505	246
PH02Gene29654	3	4	25	4	4	3	0	2	3
PH02Gene29655	0	0	0	1	0	0	0	1	0
PH02Gene29656	0	0	4	6	10	6	16	3	0
PH02Gene29657	236	187	192	149	165	153	84	186	148
PH02Gene29658	27	10	45	12	15	3	6	26	4
PH02Gene29659	17	0	38	13	20	1	20	14	2
PH02Gene29660	0	0	7	5	4	0	10	8	2
PH02Gene29661	24	7	12	25	18	8	12	23	16
PH02Gene29662	6	10	6	17	19	7	7	2	21
PH02Gene29663	0	0	6	0	0	0	1	1	0
PH02Gene29664	0	0	1	1	1	1	2	6	0
PH02Gene29666	0	0	1	0	1	0	1	1	0
PH02Gene29667	9	5	32	16	15	10	5	22	1
PH02Gene29668	29	34	16	41	15	6	32	13	6
PH02Gene29669	6	0	29	11	1	4	8	10	0
PH02Gene29670	0	0	0	1	0	0	0	0	0
PH02Gene29671	39	12	62	34	31	9	42	45	4
PH02Gene29672	0	0	0	0	0	0	0	0	0
PH02Gene29673	0	0	6	1	1	0	6	0	0
PH02Gene29674	8	26	42	10	14	8	18	20	23
PH02Gene29675	1	2	2	12	9	10	0	6	2
PH02Gene29676	4	0	12	2	5	2	3	7	0
PH02Gene29677	7	4	0	24	2	0	10	0	0
PH02Gene29678	37	2	14	32	14	8	22	11	3
PH02Gene29679	44	4	73	22	47	1	18	19	0
PH02Gene29680	106	26	19	46	14	6	71	17	17
PH02Gene29681	45	76	44	24	7	40	35	8	24
PH02Gene29682	4	0	8	9	3	2	10	6	0
PH02Gene29683	5	1	6	27	12	1	13	5	0
PH02Gene29684	0	1	5	1	0	0	4	4	0
PH02Gene29685	6	5	9	8	3	8	14	13	0
PH02Gene29687	0	0	17	24	2	0	6	18	0
PH02Gene29688	2	0	18	1	12	0	12	31	4
PH02Gene29689	18	6	5	12	6	6	24	1	10
PH02Gene29690	0	0	1	1	4	0	4	0	0
PH02Gene29691	1	0	2	0	1	0	9	1	1
PH02Gene29692	2	8	13	7	0	8	3	5	6
PH02Gene29693	10	2	3	5	2	4	2	3	2
PH02Gene29694	187	0	10	8	4	0	36	7	0
PH02Gene29695	0	2	5	0	4	0	0	4	0
PH02Gene29696	0	0	9	5	2	0	5	17	0
PH02Gene29697	0	0	3	0	6	1	9	6	0
PH02Gene29698	3	7	18	17	9	0	16	11	4
PH02Gene29699	6	0	5	7	7	1	12	4	0
PH02Gene29700	6	0	19	23	8	14	21	7	1
PH02Gene29701	0	0	4	1	1	12	4	0	0
PH02Gene29702	31	5	32	20	21	10	18	43	13
PH02Gene29703	11	3	33	11	2	7	20	18	5
PH02Gene29704	9	10	23	38	9	18	41	5	11
PH02Gene29705	11	11	29	7	18	4	12	19	7
PH02Gene29706	0	0	0	0	0	0	0	0	0
PH02Gene29707	19	1	17	11	6	0	9	6	6
PH02Gene29708	12	20	49	33	21	16	32	19	11
PH02Gene29709	12	8	49	23	15	14	25	20	0
PH02Gene29710	4	0	5	6	0	0	12	2	0
PH02Gene29711	0	0	2	2	4	4	0	2	2
PH02Gene29712	6	4	11	8	7	0	1	0	0
PH02Gene29713	3	8	23	9	13	16	11	25	0
PH02Gene29714	14	6	29	7	10	14	26	16	0
PH02Gene29715	4	0	17	5	2	4	4	21	0
PH02Gene29716	16	14	20	8	18	45	4	21	4
PH02Gene29717	8	10	7	8	7	0	13	6	8
PH02Gene29718	6	47	14	24	17	40	8	25	39
PH02Gene29719	0	0	2	0	2	0	5	1	0
PH02Gene29720	0	0	10	9	0	6	0	3	1
PH02Gene29721	0	3	13	5	12	3	3	3	0
PH02Gene29722	1	4	8	5	0	1	7	4	0
PH02Gene29723	6	0	17	10	4	3	22	9	0
PH02Gene29724	0	0	0	0	0	0	7	3	0
PH02Gene29725	0	0	0	10	4	0	2	4	0
PH02Gene29726	0	0	2	4	0	1	4	0	0
PH02Gene29727	10	0	12	6	3	0	8	8	0
PH02Gene29728	0	0	0	0	0	0	0	0	0
PH02Gene29729	0	0	0	0	0	0	0	0	0
PH02Gene29730	0	0	0	0	0	0	2	0	0
PH02Gene29731	0	0	0	0	0	0	0	0	0
PH02Gene29732	0	0	0	0	0	0	0	0	0
PH02Gene29733	0	0	0	0	0	0	0	0	0
PH02Gene29734	2	4	1	13	3	0	4	6	0
PH02Gene29735	0	0	0	0	0	0	0	0	0
PH02Gene29736	0	0	0	0	0	0	0	0	0
PH02Gene29737	0	0	2	1	0	6	2	0	0
PH02Gene29738	6	0	14	10	16	0	2	12	0
PH02Gene29739	0	0	4	0	4	0	0	0	0
PH02Gene29740	4	0	6	9	6	1	4	4	0
PH02Gene29741	0	0	4	0	0	5	12	4	0
PH02Gene29742	0	0	0	3	5	0	1	3	0
PH02Gene29743	0	4	4	0	6	2	3	0	0
PH02Gene29744	1	0	2	0	4	0	2	0	0
PH02Gene29745	1	0	1	0	12	4	2	2	0
PH02Gene29746	0	0	0	10	4	1	1	5	0
PH02Gene29747	8	0	8	0	8	1	2	4	0
PH02Gene29748	4	0	15	8	4	0	2	8	6
PH02Gene29749	9	4	8	18	15	0	24	13	0
PH02Gene29750	7	2	21	39	29	8	25	19	5
PH02Gene29751	13	15	20	32	8	0	3	3	3
PH02Gene29752	0	2	0	0	4	0	1	7	1
PH02Gene29753	75	14	43	38	36	11	43	15	7
PH02Gene29754	9	0	10	4	2	0	2	3	0
PH02Gene29755	2	0	2	0	3	0	4	4	2
PH02Gene29756	1	0	7	1	4	1	3	3	0
PH02Gene29757	0	0	5	2	0	2	4	6	0
PH02Gene29758	0	0	0	0	0	0	0	2	0
PH02Gene29759	0	0	1	0	2	0	1	3	0
PH02Gene29760	21	3	42	50	66	8	55	32	4
PH02Gene29761	0	0	0	10	6	2	3	16	0
PH02Gene29762	0	0	10	1	0	0	7	6	0
PH02Gene29763	2	0	11	6	5	4	0	4	0
PH02Gene29764	4	2	22	9	10	0	3	37	0
PH02Gene29765	3	1	6	13	16	8	16	12	1
PH02Gene29766	8	0	14	2	8	0	5	11	0
PH02Gene29767	1	0	2	2	0	0	14	1	0
PH02Gene29768	1	0	10	23	11	8	15	2	0
PH02Gene29769	1	0	2	0	0	0	0	4	0
PH02Gene29770	0	1	6	12	6	3	7	9	2
PH02Gene29771	10	3	2	0	8	0	9	2	2
PH02Gene29772	5	7	26	12	8	17	6	20	1
PH02Gene29773	2	0	1	0	8	0	6	1	0
PH02Gene29774	20	0	8	16	10	4	10	24	1
PH02Gene29775	0	0	14	5	5	0	18	2	1
PH02Gene29776	13	0	20	17	15	15	23	13	0
PH02Gene29777	0	0	2	0	0	0	0	0	0
PH02Gene29778	10	5	4	18	2	5	18	16	0
PH02Gene29779	19	35	44	16	26	20	25	25	18
PH02Gene29780	1	1	22	11	13	1	1	1	0
PH02Gene29781	28	0	18	13	12	7	5	5	2
PH02Gene29782	0	0	0	1	0	1	2	0	0
PH02Gene29783	0	0	12	1	0	1	1	3	0
PH02Gene29784	0	0	4	0	0	0	1	4	4
PH02Gene29785	11	0	24	11	6	9	13	15	0
PH02Gene29786	14	30	6	9	9	27	6	10	27
PH02Gene29787	0	2	20	3	12	9	17	15	1
PH02Gene29788	0	0	13	0	2	9	0	1	2
PH02Gene29789	0	0	6	1	0	0	2	0	0
PH02Gene29790	0	0	3	2	8	2	2	10	0
PH02Gene29791	42	1	51	16	27	19	22	10	8
PH02Gene29792	0	2	28	6	17	3	11	18	0
PH02Gene29793	8	1	6	8	2	0	2	7	0
PH02Gene29794	6	10	8	20	2	0	14	16	0
PH02Gene29795	0	0	4	10	9	0	1	0	1
PH02Gene29796	8	12	16	13	18	5	14	12	4
PH02Gene29797	1	0	8	1	1	0	0	2	0
PH02Gene29798	0	0	4	8	0	0	0	0	0
PH02Gene29799	0	0	0	0	0	0	0	0	0
PH02Gene29800	4	0	5	3	2	4	12	2	0
PH02Gene29801	1	0	1	0	1	0	0	1	0
PH02Gene29802	5	0	1	4	2	2	5	2	0
PH02Gene29803	5	4	6	6	4	0	0	6	1
PH02Gene29804	8	0	16	20	9	3	22	10	0
PH02Gene29805	6	0	17	21	11	1	12	10	5
PH02Gene29806	2	1	6	2	8	14	2	2	1
PH02Gene29807	0	0	2	6	1	0	4	4	0
PH02Gene29808	0	0	0	0	0	0	0	0	0
PH02Gene29809	0	0	8	8	2	1	0	3	0
PH02Gene29810	0	0	3	2	0	0	1	6	2
PH02Gene29811	7	6	10	5	11	1	9	9	4
PH02Gene29812	8	8	16	13	2	7	13	10	0
PH02Gene29813	0	0	0	0	0	0	4	0	0
PH02Gene29814	0	0	1	6	1	0	12	0	0
PH02Gene29815	11	11	6	2	25	5	19	12	0
PH02Gene29816	21	0	1	13	31	8	13	16	0
PH02Gene29817	16	16	46	12	18	5	7	41	5
PH02Gene29818	24	6	4	4	21	12	13	4	6
PH02Gene29819	41	114	38	33	34	52	37	68	100
PH02Gene29820	8	4	8	16	7	6	15	15	0
PH02Gene29821	4	0	8	1	0	2	0	8	2
PH02Gene29822	28	29	14	25	6	25	27	9	24
PH02Gene29823	21	26	59	26	27	31	26	39	12
PH02Gene29824	7	0	8	8	12	0	2	13	4
PH02Gene29825	0	0	3	0	0	4	0	0	0
PH02Gene29826	1	0	0	0	0	0	0	0	0
PH02Gene29827	11	2	18	4	8	7	3	17	14
PH02Gene29828	0	0	18	15	0	2	15	8	0
PH02Gene29829	4	4	10	0	8	1	2	6	0
PH02Gene29830	1	7	13	6	11	8	21	10	0
PH02Gene29831	4	10	18	4	3	0	16	31	1
PH02Gene29832	5	2	7	9	9	5	0	11	0
PH02Gene29833	7	1	20	5	4	5	0	7	0
PH02Gene29834	2	8	3	4	12	15	8	2	0
PH02Gene29835	6	4	9	5	17	5	21	23	1
PH02Gene29836	9	44	6	22	12	36	23	14	24
PH02Gene29837	9	6	11	8	16	2	8	11	2
PH02Gene29838	4	2	11	6	8	1	5	6	2
PH02Gene29839	0	0	0	4	1	0	0	0	0
PH02Gene29840	4	0	10	18	7	2	1	7	3
PH02Gene29841	0	0	6	0	0	0	0	4	0
PH02Gene29842	0	0	0	0	0	0	0	1	0
PH02Gene29843	7	17	17	1	26	31	14	10	3
PH02Gene29844	9	8	4	2	2	5	2	2	2
PH02Gene29845	8	10	15	23	22	5	10	14	4
PH02Gene29846	6	4	8	10	1	0	6	0	0
PH02Gene29847	0	0	0	0	0	0	1	0	1
PH02Gene29848	10	1	19	13	6	2	7	12	4
PH02Gene29849	17	0	23	12	17	8	20	12	3
PH02Gene29850	38	9	38	39	29	7	62	28	0
PH02Gene29851	36	0	12	7	10	2	4	4	0
PH02Gene29852	1	4	5	16	2	6	18	6	8
PH02Gene29853	21	6	15	18	3	9	4	27	2
PH02Gene29854	10	0	22	17	7	1	24	1	8
PH02Gene29855	20	3	16	13	11	16	15	19	6
PH02Gene29856	0	0	2	8	2	0	0	0	0
PH02Gene29857	6	0	4	8	1	10	7	10	0
PH02Gene29858	6	0	0	0	1	0	0	1	0
PH02Gene29859	4	0	4	0	0	0	2	4	0
PH02Gene29860	0	4	4	5	1	4	2	0	2
PH02Gene29861	0	0	0	2	6	8	4	0	0
PH02Gene29862	0	0	0	0	0	0	0	0	0
PH02Gene29863	0	0	0	0	0	0	0	0	0
PH02Gene29864	0	0	6	2	0	1	0	1	0
PH02Gene29865	4	1	1	7	8	1	6	0	0
PH02Gene29866	0	1	0	8	0	0	6	0	0
PH02Gene29867	0	0	0	10	2	3	8	2	2
PH02Gene29868	2	6	10	3	13	8	6	10	4
PH02Gene29869	0	2	16	5	4	16	5	10	2
PH02Gene29870	12	6	18	12	12	2	2	13	4
PH02Gene29871	2	14	7	6	0	5	4	9	4
PH02Gene29872	3	4	9	14	2	8	18	16	0
PH02Gene29873	2	0	4	2	7	0	6	8	0
PH02Gene29874	2	0	1	2	0	0	4	4	0
PH02Gene29875	4	0	13	0	2	2	1	8	0
PH02Gene29876	14	12	22	5	6	10	36	14	6
PH02Gene29877	10	0	12	0	9	0	0	2	0
PH02Gene29878	6	1	16	10	26	18	14	2	1
PH02Gene29879	0	0	1	7	0	0	0	4	0
PH02Gene29880	6	0	7	4	1	0	2	11	0
PH02Gene29881	3	0	1	4	1	0	0	14	1
PH02Gene29882	0	0	1	5	1	1	0	11	0
PH02Gene29883	0	0	0	0	0	0	4	0	0
PH02Gene29884	7	0	18	1	5	0	10	4	0
PH02Gene29885	0	0	1	0	1	0	0	0	0
PH02Gene29886	4	0	4	0	2	0	3	10	0
PH02Gene29887	0	0	0	0	0	0	0	0	0
PH02Gene29888	6	0	2	0	3	9	6	5	0
PH02Gene29889	1	1	3	7	1	1	4	3	0
PH02Gene29890	0	0	3	18	1	2	1	0	1
PH02Gene29891	0	2	0	0	2	0	4	14	4
PH02Gene29892	2	7	24	16	10	2	4	7	3
PH02Gene29893	180	625	166	71	237	492	70	215	243
PH02Gene29894	8	8	20	6	0	2	6	5	3
PH02Gene29895	26	32	14	12	32	47	10	24	21
PH02Gene29896	2	0	1	0	7	2	1	0	4
PH02Gene29897	0	2	2	0	6	1	1	0	0
PH02Gene29898	0	0	4	4	13	4	8	14	0
PH02Gene29899	7	0	4	1	6	4	4	6	0
PH02Gene29900	10	2	6	9	7	2	14	2	0
PH02Gene29901	5	1	4	1	5	0	4	9	0
PH02Gene29902	2	0	0	2	1	0	1	1	0
PH02Gene29903	3	0	13	13	3	2	7	4	0
PH02Gene29905	1	0	1	4	17	0	5	8	8
PH02Gene29906	6	0	2	0	0	0	0	2	0
PH02Gene29907	12	0	4	0	1	1	2	6	0
PH02Gene29908	1	0	1	5	2	2	5	4	0
PH02Gene29909	0	0	0	0	1	0	0	0	0
PH02Gene29910	0	0	0	0	0	0	0	0	0
PH02Gene29911	4	1	2	2	12	0	0	8	0
PH02Gene29912	0	0	6	0	0	2	0	0	2
PH02Gene29913	0	0	6	6	2	0	2	8	0
PH02Gene29914	1	0	5	8	5	0	7	4	0
PH02Gene29915	1	0	1	0	0	4	1	0	0
PH02Gene29916	0	0	0	6	2	6	0	1	2
PH02Gene29917	7	4	4	1	1	1	10	1	0
PH02Gene29918	2	0	10	16	6	6	13	4	0
PH02Gene29919	8	2	10	5	14	9	18	5	0
PH02Gene29920	6	0	2	11	1	4	4	5	0
PH02Gene29921	0	0	4	0	2	0	0	5	0
PH02Gene29922	0	0	8	4	1	0	4	6	0
PH02Gene29923	0	0	0	0	0	0	0	0	0
PH02Gene29924	8	10	12	6	9	12	14	9	6
PH02Gene29926	12	0	0	0	0	6	0	4	0
PH02Gene29927	14	4	1	12	6	0	19	3	7
PH02Gene29928	23	2	29	18	20	14	11	30	4
PH02Gene29929	0	0	18	3	0	0	7	0	0
PH02Gene29930	5	0	5	12	5	0	0	0	0
PH02Gene29931	6	0	31	20	7	7	18	8	0
PH02Gene29932	8	0	20	3	4	6	15	1	0
PH02Gene29933	25	0	6	17	4	0	27	8	0
PH02Gene29934	429	2	4	323	6	4	355	6	0
PH02Gene29935	21	0	20	1	4	1	10	2	2
PH02Gene29936	185	37	60	106	51	78	156	59	34
PH02Gene29937	5	2	3	14	1	0	28	0	2
PH02Gene29938	9	0	17	8	11	0	8	3	0
PH02Gene29939	8	0	8	4	0	3	3	2	0
PH02Gene29940	6	1	4	8	8	6	2	8	0
PH02Gene29941	0	0	0	1	3	4	0	0	3
PH02Gene29942	0	0	1	0	0	0	0	1	0
PH02Gene29943	0	12	9	3	8	8	11	14	3
PH02Gene29944	249	872	101	104	69	141	250	84	395
PH02Gene29945	4	24	2	10	0	6	4	2	10
PH02Gene29946	0	0	0	5	0	0	7	4	0
PH02Gene29947	0	1	16	2	5	2	3	1	0
PH02Gene29948	0	1	3	9	10	0	9	1	0
PH02Gene29949	0	0	1	0	4	0	4	0	0
PH02Gene29950	6	0	8	13	11	2	6	8	0
PH02Gene29951	1	0	0	1	4	0	0	2	0
PH02Gene29952	4	0	6	6	8	0	1	9	0
PH02Gene29953	2	1	0	2	8	2	1	1	0
PH02Gene29954	25	12	45	24	16	14	13	2	8
PH02Gene29955	0	0	0	0	0	0	0	4	0
PH02Gene29956	4	0	5	2	0	0	4	0	0
PH02Gene29957	6	2	9	4	6	0	6	14	0
PH02Gene29958	1	0	8	4	4	2	5	6	0
PH02Gene29959	15	2	0	4	22	6	12	4	2
PH02Gene29960	2	1	3	4	4	5	1	2	0
PH02Gene29961	0	6	9	9	6	0	0	2	0
PH02Gene29962	6	0	11	8	1	1	4	2	0
PH02Gene29963	2	0	0	8	9	0	0	21	2
PH02Gene29964	2	2	3	2	9	13	4	5	3
PH02Gene29965	1	6	20	8	6	4	5	3	0
PH02Gene29966	6	2	8	0	3	0	0	4	8
PH02Gene29967	0	0	0	0	0	0	0	0	0
PH02Gene29968	0	0	8	4	4	0	2	6	0
PH02Gene29969	0	0	1	0	0	0	1	0	0
PH02Gene29970	2	7	20	9	14	4	16	22	4
PH02Gene29971	2	8	5	4	9	6	2	2	0
PH02Gene29972	0	11	0	0	4	4	6	6	2
PH02Gene29973	14	21	7	4	0	7	0	10	10
PH02Gene29974	70	3	35	33	15	19	65	12	22
PH02Gene29975	0	0	0	0	0	0	0	0	0
PH02Gene29976	4	1	4	8	13	3	2	4	5
PH02Gene29977	0	2	4	7	4	4	11	2	0
PH02Gene29978	0	0	10	0	12	7	12	28	0
PH02Gene29979	0	0	1	4	0	4	2	1	0
PH02Gene29980	1	0	5	0	0	0	0	2	0
PH02Gene29981	6	0	6	19	14	10	12	15	0
PH02Gene29982	39	35	78	32	95	70	46	90	47
PH02Gene29983	10	1	16	6	5	5	20	16	7
PH02Gene29984	0	0	8	3	6	0	10	0	0
PH02Gene29985	0	4	2	0	3	0	14	12	0
PH02Gene29986	0	0	0	0	0	0	2	4	0
PH02Gene29987	10	22	26	15	20	6	16	14	17
PH02Gene29988	42	148	38	36	27	96	61	40	72
PH02Gene29989	0	0	8	6	2	6	10	3	0
PH02Gene29990	24	4	42	35	19	8	34	23	0
PH02Gene29991	12	0	16	9	9	7	9	5	0
PH02Gene29992	6	2	6	18	4	4	13	6	0
PH02Gene29993	4	0	14	8	12	1	1	7	0
PH02Gene29994	14	42	14	8	0	8	10	2	11
PH02Gene29995	7	7	0	8	7	18	12	7	4
PH02Gene29996	21	53	22	28	24	35	17	34	17
PH02Gene29997	231	119	14	97	13	18	118	17	134
PH02Gene29998	9	1	0	4	9	0	8	3	0
PH02Gene29999	0	0	5	3	0	1	5	0	0
PH02Gene30000	0	1	14	8	5	16	7	2	0
PH02Gene30001	1	1	6	9	6	1	5	1	0
PH02Gene30002	0	0	6	4	1	1	5	1	0
PH02Gene30003	1	0	11	10	8	0	11	44	0
PH02Gene30004	8	9	17	25	0	11	18	13	0
PH02Gene30005	6	13	10	6	6	8	16	20	4
PH02Gene30006	11	13	39	9	23	32	10	14	2
PH02Gene30007	0	0	4	0	9	0	5	0	0
PH02Gene30008	0	0	0	4	7	14	4	0	0
PH02Gene30009	0	0	6	2	0	6	3	3	0
PH02Gene30010	0	0	0	0	1	0	2	6	0
PH02Gene30011	6	2	17	14	15	1	9	6	0
