ID,Fold_(T1D-B1 vs C1),pValue
226136_at,-0.474,0.045
1555154_a_at,0.484,0.045
1555144_at,-0.504,0.045
241727_x_at,-0.370,0.045
218412_s_at,0.528,0.045
224569_s_at,0.353,0.045
222691_at,-0.496,0.045
244833_at,0.882,0.045
230612_at,-0.589,0.045
203817_at,-1.658,0.045
213329_at,-0.297,0.045
213391_at,-0.956,0.045
219888_at,1.371,0.045
244370_at,-0.455,0.045
204433_s_at,0.674,0.045
1556248_at,0.459,0.045
234050_at,-1.602,0.045
202706_s_at,-0.564,0.045
213566_at,-0.888,0.045
1559882_at,-3.135,0.045
225100_at,-0.319,0.045
215340_at,0.566,0.045
230052_s_at,0.625,0.046
236260_at,0.294,0.046
208942_s_at,-0.590,0.046
203675_at,1.504,0.046
212224_at,-0.380,0.046
239742_at,-4.654,0.046
225805_at,-0.699,0.046
228118_x_at,0.577,0.046
235087_at,0.590,0.046
225973_at,-0.370,0.046
218665_at,0.944,0.046
235426_at,0.349,0.046
214250_at,-0.596,0.046
224848_at,0.582,0.046
232518_at,0.757,0.046
221355_at,0.441,0.046
226880_at,-1.968,0.046
224621_at,-0.727,0.046
225965_at,-0.953,0.046
1559226_x_at,1.088,0.046
210169_at,-1.624,0.046
227777_at,-0.832,0.046
228561_at,-0.835,0.046
218658_s_at,-0.295,0.046
233866_at,-0.339,0.046
217823_s_at,0.952,0.046
1568913_at,0.377,0.046
202587_s_at,-0.796,0.046
232498_at,-0.473,0.046
229360_at,-1.063,0.046
1557384_at,-1.293,0.046
216139_s_at,1.042,0.046
227002_at,-0.603,0.046
1563053_at,-0.534,0.046
236087_at,0.505,0.046
203045_at,1.269,0.046
208284_x_at,0.865,0.046
202470_s_at,-0.412,0.046
232772_at,-0.412,0.046
202456_s_at,0.514,0.046
204048_s_at,-0.955,0.046
202018_s_at,4.617,0.046
221482_s_at,0.843,0.046
228637_at,-0.511,0.046
214732_at,0.558,0.046
1554553_s_at,0.461,0.046
238990_x_at,-0.443,0.046
1554155_at,-0.559,0.046
227554_at,0.700,0.046
218701_at,-0.750,0.046
1557943_at,0.422,0.046
228420_at,-1.268,0.046
205046_at,1.245,0.046
204588_s_at,-0.347,0.046
231370_at,-1.111,0.046
203914_x_at,-1.177,0.046
228408_s_at,-1.752,0.046
223640_at,-0.612,0.046
242648_at,-0.292,0.046
237426_at,-0.928,0.046
227335_at,-0.429,0.046
1553572_a_at,0.619,0.047
225557_at,0.339,0.047
203154_s_at,0.737,0.047
1563014_at,-0.401,0.047
231251_at,-0.504,0.047
224853_at,-0.791,0.047
211732_x_at,-0.522,0.047
1559002_at,0.493,0.047
203750_s_at,0.770,0.047
220077_at,0.447,0.047
226843_s_at,-1.449,0.047
214058_at,-0.323,0.047
213210_at,0.429,0.047
200733_s_at,0.420,0.047
228550_at,0.571,0.047
217904_s_at,-0.417,0.047
211557_x_at,1.178,0.047
237702_at,0.998,0.047
225122_at,0.948,0.047
210858_x_at,-2.455,0.047
213286_at,0.289,0.047
216010_x_at,0.473,0.047
203159_at,-0.758,0.047
226159_at,-0.482,0.047
210959_s_at,-0.310,0.047
203695_s_at,-0.399,0.047
229529_at,0.382,0.047
219128_at,-0.394,0.047
222403_at,-0.579,0.047
234922_s_at,0.728,0.047
215621_s_at,0.599,0.047
203803_at,-0.475,0.047
1556033_at,-0.679,0.047
222774_s_at,-0.650,0.047
204361_s_at,1.090,0.047
213294_at,0.701,0.047
215338_s_at,-2.012,0.048
242041_at,-0.548,0.048
1570441_at,-1.035,0.048
219299_at,-0.813,0.048
1553657_at,0.606,0.048
214061_at,-1.217,0.048
231288_at,-1.911,0.048
205356_at,-0.883,0.048
201158_at,-0.413,0.048
220232_at,-1.598,0.048
203699_s_at,-0.624,0.048
1565908_at,1.125,0.048
1555167_s_at,3.166,0.048
203299_s_at,-0.322,0.048
202870_s_at,2.293,0.048
218618_s_at,-0.706,0.048
203212_s_at,-1.184,0.048
212171_x_at,1.341,0.048
1561616_a_at,0.786,0.048
224699_s_at,-0.625,0.048
240072_at,-1.500,0.048
238519_at,-1.235,0.048
210115_at,-0.920,0.048
209865_at,-1.163,0.048
1553960_at,-0.355,0.048
205246_at,-0.420,0.048
217239_x_at,0.955,0.048
209916_at,0.617,0.048
223125_s_at,-2.534,0.048
230266_at,0.567,0.048
200753_x_at,0.489,0.048
228757_at,0.898,0.048
207057_at,-2.485,0.048
1554346_at,0.833,0.048
39249_at,0.645,0.048
204948_s_at,0.738,0.048
222781_s_at,0.617,0.048
1556178_x_at,-0.386,0.048
220739_s_at,-1.215,0.048
202175_at,0.729,0.048
221502_at,-0.487,0.048
222405_at,-0.862,0.048
223351_at,-0.309,0.048
203069_at,0.929,0.048
230313_at,-0.284,0.048
1557827_at,0.553,0.048
212180_at,-0.796,0.048
1563947_a_at,-0.293,0.048
218876_at,-0.780,0.048
1562559_at,0.452,0.048
228801_at,-1.101,0.048
212880_at,-0.634,0.048
238510_at,-1.229,0.048
218361_at,-0.339,0.048
223110_at,-0.822,0.048
224686_x_at,-0.864,0.049
221680_s_at,0.968,0.049
226643_s_at,-1.023,0.049
209149_s_at,0.422,0.049
228305_at,-0.635,0.049
227301_at,-0.649,0.049
204180_s_at,-1.331,0.049
222675_s_at,0.558,0.049
241374_at,-0.573,0.049
222641_s_at,0.904,0.049
205479_s_at,2.296,0.049
228367_at,0.341,0.049
224983_at,-0.420,0.049
204012_s_at,-0.777,0.049
231688_at,5.579,0.049
235063_at,-0.351,0.049
217414_x_at,1.239,0.049
212424_at,-0.923,0.049
222114_x_at,0.753,0.049
232829_at,1.435,0.049
201890_at,1.821,0.049
208662_s_at,-2.541,0.049
232272_at,-0.711,0.049
215754_at,-1.569,0.049
211313_s_at,0.491,0.049
230821_at,-0.518,0.049
201026_at,-0.379,0.049
210004_at,4.715,0.049
230036_at,0.443,0.049
221191_at,-0.530,0.049
1555436_a_at,0.313,0.049
205444_at,0.376,0.049
230589_at,-0.298,0.049
204715_at,-1.597,0.049
212973_at,0.738,0.049
228548_at,-1.667,0.049
205659_at,-1.012,0.049
203128_at,-0.546,0.049
213439_x_at,1.320,0.049
237747_at,-1.239,0.049
223252_at,0.810,0.050
213296_at,-0.936,0.050
204962_s_at,1.014,0.050
1558230_at,0.606,0.050
203882_at,0.524,0.050
219777_at,-0.804,0.050
205552_s_at,0.992,0.050
227714_s_at,0.973,0.050
238143_at,0.697,0.050
234421_s_at,0.727,0.050
226031_at,-0.839,0.050
221045_s_at,-0.468,0.050
211898_s_at,0.767,0.050
208372_s_at,0.592,0.050
203247_s_at,-2.018,0.050
220163_s_at,0.958,0.050
227609_at,0.580,0.050
229441_at,-0.343,0.050
206250_x_at,0.614,0.050
41386_i_at,0.417,0.050
206756_at,-0.471,0.050
214453_s_at,0.714,0.050
242992_at,0.572,0.050
206896_s_at,0.271,0.050
227013_at,-0.281,0.050
216909_at,0.707,0.050
203474_at,-0.653,0.050
60471_at,-0.724,0.050
220282_at,0.353,0.050
212720_at,-0.695,0.050
219307_at,-0.681,0.050
224929_at,-0.291,0.050
240830_at,-1.931,0.050
203227_s_at,-0.317,0.050
206527_at,0.406,0.050
205308_at,-0.672,0.050
223433_at,-0.916,0.050
219730_at,-0.491,0.050
204018_x_at,1.229,0.050
221455_s_at,0.728,0.050
221689_s_at,-0.892,0.050
229135_at,-0.325,0.050
206564_at,0.670,0.050
211825_s_at,0.754,0.050
227116_at,-0.331,0.050
229969_at,-0.535,0.050
209464_at,1.844,0.050
211266_s_at,0.599,0.050
221139_s_at,0.885,0.050
203601_s_at,0.646,0.050
209458_x_at,1.179,0.050
222968_at,-0.742,0.050
203464_s_at,0.720,0.051
229396_at,0.732,0.051
225934_at,-0.313,0.051
230550_at,-0.294,0.051
226995_at,-0.549,0.051
202971_s_at,-3.760,0.051
218138_at,-0.293,0.051
220195_at,-0.493,0.051
226720_at,-0.495,0.051
213270_at,0.653,0.051
236583_at,-1.581,0.051
215471_s_at,0.724,0.051
212742_at,-0.744,0.051
224736_at,-1.266,0.051
221484_at,1.589,0.051
216542_x_at,2.298,0.051
213175_s_at,0.421,0.051
231044_at,0.488,0.051
1569268_at,0.526,0.051
211696_x_at,0.812,0.051
226982_at,0.478,0.051
1562245_a_at,-1.756,0.051
215325_x_at,0.582,0.051
221685_s_at,-0.824,0.051
231575_at,0.492,0.051
240926_at,-0.469,0.051
225631_at,0.636,0.051
238439_at,4.561,0.051
230048_at,0.475,0.051
235232_at,-0.611,0.051
201723_s_at,-0.574,0.051
225970_at,-0.544,0.051
226224_at,-0.487,0.051
211285_s_at,-1.309,0.051
216209_at,0.494,0.051
214879_x_at,0.402,0.051
209772_s_at,3.968,0.051
203213_at,0.842,0.051
236998_at,0.497,0.051
1552330_at,-0.353,0.052
238995_at,0.612,0.052
201724_s_at,-0.415,0.052
223171_at,-0.585,0.052
212753_at,-0.892,0.052
201326_at,-1.240,0.052
1556675_s_at,0.555,0.052
223297_at,-0.329,0.052
206913_at,0.733,0.052
208465_at,0.803,0.052
219471_at,0.599,0.052
235085_at,-1.417,0.052
1562724_at,0.426,0.052
201242_s_at,-1.098,0.052
212681_at,-0.268,0.052
220613_s_at,-1.334,0.052
209769_s_at,0.927,0.052
211745_x_at,1.091,0.052
216024_at,0.608,0.052
1552628_a_at,-1.050,0.052
225173_at,-0.710,0.052
222775_s_at,-0.366,0.052
201886_at,0.421,0.052
222036_s_at,1.148,0.052
236722_at,0.645,0.052
236941_at,-0.294,0.052
209952_s_at,0.470,0.052
205965_at,-0.318,0.052
1557081_at,-1.243,0.052
243709_at,-1.212,0.052
226977_at,-1.071,0.052
227935_s_at,0.528,0.052
203789_s_at,-0.584,0.052
240111_at,-0.442,0.052
228274_at,0.659,0.052
1566851_at,0.350,0.052
209460_at,-0.329,0.052
202762_at,-0.748,0.052
207847_s_at,0.379,0.052
214568_at,0.815,0.052
231908_at,0.741,0.052
210321_at,-1.990,0.052
210345_s_at,0.680,0.052
222447_at,-0.343,0.052
238923_at,-0.340,0.052
200845_s_at,-0.514,0.052
206302_s_at,0.396,0.052
219101_x_at,0.516,0.052
1555404_a_at,0.561,0.052
222510_s_at,0.562,0.052
1555715_a_at,0.661,0.052
215992_s_at,-0.672,0.052
205616_at,0.627,0.052
201917_s_at,-1.970,0.052
232293_at,-0.786,0.052
224539_s_at,0.545,0.052
52164_at,-0.433,0.052
231352_at,1.054,0.052
217683_at,0.594,0.052
225322_s_at,0.308,0.053
227746_at,-1.543,0.053
223588_at,-0.719,0.053
215538_at,0.729,0.053
209239_at,0.364,0.053
202977_s_at,0.581,0.053
202145_at,0.423,0.053
51228_at,-0.379,0.053
225208_s_at,0.379,0.053
201198_s_at,-0.416,0.053
244593_at,0.480,0.053
212517_at,-0.533,0.053
1561579_at,0.463,0.053
204807_at,-1.262,0.053
218657_at,0.652,0.053
220314_at,0.600,0.053
213503_x_at,-0.340,0.053
226617_at,-0.604,0.053
222787_s_at,-2.089,0.053
223228_at,-1.260,0.053
213922_at,-1.153,0.053
229535_at,-0.772,0.053
241832_at,-0.434,0.053
221006_s_at,-0.296,0.053
226060_at,-0.314,0.053
1569065_s_at,0.675,0.053
207035_at,1.144,0.053
230435_at,-0.371,0.053
204735_at,-1.553,0.053
1553286_at,-0.384,0.053
221904_at,-0.292,0.053
238622_at,-0.978,0.053
206073_at,-1.586,0.053
207068_at,-0.388,0.053
242411_at,0.526,0.053
227279_at,-0.415,0.053
1564783_x_at,0.440,0.053
1570241_at,0.812,0.053
206167_s_at,-0.604,0.053
1556323_at,-1.296,0.053
221566_s_at,0.898,0.053
230276_at,-0.258,0.053
205950_s_at,5.769,0.053
221556_at,-0.407,0.054
228337_at,-0.314,0.054
238356_at,-1.390,0.054
204346_s_at,-0.449,0.054
1553943_at,0.473,0.054
227655_at,0.377,0.054
229499_at,0.818,0.054
210812_at,-0.458,0.054
207990_x_at,0.548,0.054
235792_x_at,-0.394,0.054
208879_x_at,-0.930,0.054
219224_x_at,0.391,0.054
232980_at,-0.582,0.054
227981_at,-0.478,0.054
200884_at,0.782,0.054
211044_at,-0.313,0.054
203358_s_at,0.851,0.054
219358_s_at,-0.377,0.054
1563426_a_at,-0.860,0.054
200833_s_at,-0.475,0.054
222790_s_at,-1.051,0.054
202186_x_at,0.943,0.054
202184_s_at,-0.556,0.054
201670_s_at,0.725,0.054
221301_at,0.566,0.054
228024_at,-0.544,0.054
219519_s_at,0.669,0.054
223032_x_at,-0.360,0.054
225200_at,-0.676,0.054
206090_s_at,-0.277,0.054
217232_x_at,0.728,0.054
242961_x_at,1.070,0.054
231101_at,-1.234,0.054
232346_at,-1.695,0.054
212395_s_at,-0.382,0.054
219769_at,0.506,0.054
201730_s_at,-1.373,0.054
208488_s_at,1.401,0.054
201801_s_at,1.027,0.054
1554153_a_at,0.793,0.054
1565898_at,-0.720,0.054
1568592_at,-0.501,0.054
218634_at,0.801,0.054
239229_at,-0.658,0.054
203614_at,-0.630,0.054
224645_at,-0.599,0.054
232513_x_at,0.265,0.054
203532_x_at,-0.378,0.055
229881_at,-1.436,0.055
218590_at,-0.597,0.055
200939_s_at,0.436,0.055
1556359_at,-0.476,0.055
217500_at,0.620,0.055
224563_at,-0.525,0.055
1556202_at,-0.305,0.055
242750_at,-0.615,0.055
1562020_s_at,0.544,0.055
203631_s_at,0.351,0.055
214253_s_at,0.673,0.055
223360_at,0.415,0.055
202808_at,-0.315,0.055
219080_s_at,0.592,0.055
217876_at,0.448,0.055
218500_at,-0.405,0.055
220236_at,0.611,0.055
1553115_at,0.619,0.055
211658_at,0.411,0.055
229090_at,0.401,0.055
1553096_s_at,0.326,0.055
205435_s_at,-0.330,0.055
221535_at,-1.662,0.055
218401_s_at,-0.431,0.055
222681_at,-1.155,0.055
225981_at,0.621,0.055
200050_at,-0.650,0.055
204443_at,1.084,0.055
205586_x_at,0.457,0.055
228042_at,-0.306,0.055
230457_at,-0.903,0.055
213721_at,0.528,0.055
230739_at,-0.768,0.055
213427_at,-1.073,0.055
232763_at,0.462,0.055
223765_s_at,0.489,0.055
202157_s_at,-0.930,0.055
205410_s_at,0.281,0.055
224331_s_at,-0.576,0.055
204674_at,0.941,0.055
236108_at,0.317,0.055
227960_s_at,-0.313,0.055
212188_at,-0.707,0.055
202107_s_at,1.266,0.055
212769_at,0.854,0.055
222826_at,-1.446,0.055
228809_at,-1.058,0.055
218517_at,-0.492,0.055
207871_s_at,-0.268,0.055
202129_s_at,0.946,0.055
49306_at,-0.250,0.055
222217_s_at,-0.420,0.055
1554344_s_at,0.855,0.055
201368_at,-0.774,0.056
217143_s_at,-2.170,0.056
226517_at,-0.309,0.056
225294_s_at,-0.290,0.056
241899_at,0.477,0.056
213858_at,0.543,0.056
228095_at,-1.256,0.056
203611_at,-0.499,0.056
205727_at,-0.344,0.056
228693_at,-1.292,0.056
230737_s_at,-0.310,0.056
211532_x_at,-2.731,0.056
220214_at,0.621,0.056
201807_at,-0.446,0.056
231270_at,-1.748,0.056
235007_at,-0.863,0.056
204175_at,-0.499,0.056
36475_at,0.752,0.056
241360_at,-0.309,0.056
224928_at,-0.767,0.056
213593_s_at,-1.284,0.056
202939_at,-0.320,0.056
213038_at,1.049,0.056
202016_at,-1.223,0.056
227159_at,-0.562,0.056
211588_s_at,1.250,0.056
205449_at,-0.649,0.056
1564319_at,0.309,0.056
226688_at,-0.598,0.056
216398_at,0.844,0.056
216986_s_at,0.405,0.056
220006_at,0.551,0.056
213089_at,-1.222,0.056
1554210_at,0.540,0.056
202217_at,-0.493,0.056
219239_s_at,-0.442,0.056
238603_at,-0.436,0.056
226762_at,-0.621,0.056
206059_at,-1.875,0.056
214414_x_at,0.871,0.056
226707_at,0.549,0.056
1553279_at,0.619,0.056
201959_s_at,-1.780,0.056
1556024_at,0.349,0.056
204095_s_at,0.608,0.057
239197_s_at,0.627,0.057
219005_at,0.569,0.057
201337_s_at,0.355,0.057
217100_s_at,-1.688,0.057
211395_x_at,0.858,0.057
218207_s_at,0.484,0.057
244279_at,0.561,0.057
231801_at,0.610,0.057
226481_at,-0.262,0.057
212575_at,-1.369,0.057
1555629_at,-0.745,0.057
204318_s_at,1.346,0.057
234989_at,-0.306,0.057
232861_at,-0.342,0.057
203024_s_at,-0.337,0.057
221962_s_at,1.150,0.057
225243_s_at,-0.334,0.057
201611_s_at,-0.637,0.057
214043_at,-0.344,0.057
225712_at,-0.678,0.057
216775_at,-0.386,0.057
1555638_a_at,0.700,0.057
232407_at,1.012,0.057
206682_at,-2.566,0.057
230686_s_at,0.464,0.057
228088_at,-0.763,0.057
212419_at,-0.736,0.057
204068_at,-0.257,0.057
202898_at,0.481,0.057
217365_at,0.609,0.057
227015_at,-0.736,0.057
217190_x_at,0.313,0.057
223596_at,0.456,0.057
224144_at,0.573,0.057
210714_at,-0.708,0.057
225509_at,-0.735,0.057
1553532_a_at,0.817,0.058
200644_at,0.315,0.058
1564109_at,0.331,0.058
211738_x_at,0.296,0.058
224743_at,-0.414,0.058
227596_at,0.657,0.058
201508_at,0.464,0.058
212801_at,0.853,0.058
228855_at,-1.040,0.058
226205_at,0.883,0.058
223426_s_at,0.913,0.058
222243_s_at,-0.923,0.058
219978_s_at,1.484,0.058
210775_x_at,0.481,0.058
206115_at,0.957,0.058
228964_at,-0.991,0.058
201334_s_at,-0.352,0.058
1559893_at,-0.487,0.058
203560_at,2.013,0.058
204896_s_at,0.277,0.058
205899_at,0.604,0.058
1558139_at,0.539,0.058
236655_at,-1.143,0.058
1555546_a_at,1.083,0.058
239695_at,-1.657,0.058
203411_s_at,0.373,0.058
243349_at,0.872,0.058
233732_at,-0.657,0.058
217144_at,2.761,0.058
207091_at,-0.425,0.058
1564787_at,0.438,0.058
225171_at,-0.278,0.058
213599_at,1.374,0.058
223437_at,-0.361,0.058
211147_s_at,0.435,0.058
208797_s_at,0.240,0.058
216615_s_at,0.285,0.058
237209_s_at,0.375,0.058
224494_x_at,0.353,0.058
215682_at,0.527,0.058
238596_at,-0.958,0.058
212118_at,-0.347,0.058
218628_at,-0.523,0.058
203098_at,-0.655,0.058
1555041_a_at,-0.274,0.059
33768_at,0.593,0.059
207352_s_at,0.629,0.059
229959_at,0.539,0.059
207701_at,0.504,0.059
221335_x_at,0.533,0.059
214743_at,-0.284,0.059
222593_s_at,-0.324,0.059
220038_at,-0.253,0.059
1565620_at,-1.046,0.059
220145_at,-0.653,0.059
203755_at,1.708,0.059
209566_at,-0.571,0.059
207186_s_at,-1.214,0.059
224554_at,0.458,0.059
228270_at,0.307,0.059
239027_at,-0.307,0.059
1552275_s_at,0.957,0.059
212906_at,0.871,0.059
220743_at,0.731,0.059
219037_at,-1.309,0.059
1562783_at,0.519,0.059
222811_at,-0.792,0.059
209213_at,-0.278,0.059
234102_at,0.705,0.059
216180_s_at,0.405,0.059
205663_at,1.323,0.059
207064_s_at,1.387,0.059
206834_at,6.641,0.059
244615_x_at,0.567,0.059
200972_at,-0.601,0.059
225253_s_at,-0.573,0.059
1560224_at,-0.444,0.059
218538_s_at,-0.844,0.059
225325_at,-1.580,0.059
1570001_at,-0.285,0.059
212007_at,-0.378,0.059
203486_s_at,-0.384,0.059
1569815_x_at,-0.399,0.059
1557657_a_at,0.713,0.059
229971_at,-1.371,0.059
206974_at,-0.321,0.059
231873_at,-2.010,0.059
208352_x_at,1.767,0.059
208736_at,-0.252,0.059
211234_x_at,0.557,0.059
205919_at,1.443,0.059
227637_at,-0.266,0.059
224553_s_at,1.716,0.060
243410_at,-2.197,0.060
235839_at,0.452,0.060
213310_at,-0.321,0.060
1557374_at,-0.509,0.060
202214_s_at,-0.290,0.060
232489_at,-2.297,0.060
213226_at,0.735,0.060
226010_at,0.348,0.060
201353_s_at,-0.290,0.060
219599_at,-0.979,0.060
242761_s_at,-1.647,0.060
231320_at,-0.804,0.060
201828_x_at,-0.349,0.060
214255_at,-1.892,0.060
223767_at,3.031,0.060
211839_s_at,0.841,0.060
1555656_at,0.852,0.060
228987_at,-1.227,0.060
229074_at,-0.857,0.060
242562_at,-0.565,0.060
1557938_s_at,0.742,0.060
1554105_at,-0.658,0.060
226450_at,-0.322,0.060
213627_at,-0.693,0.060
217738_at,1.842,0.060
225928_at,-0.550,0.060
1564823_at,0.467,0.060
1553967_at,0.594,0.060
212802_s_at,-0.602,0.060
48659_at,1.112,0.060
233086_at,0.292,0.060
225869_s_at,1.201,0.060
224738_x_at,-0.464,0.060
227426_at,-0.991,0.060
210320_s_at,-0.306,0.060
220638_s_at,0.889,0.060
1552456_a_at,0.505,0.060
222814_s_at,0.253,0.060
202537_s_at,-0.527,0.060
203634_s_at,-0.331,0.060
33132_at,-0.283,0.060
220636_at,0.633,0.060
213405_at,-0.994,0.060
224843_at,-0.608,0.060
235347_at,-1.682,0.060
204861_s_at,-0.275,0.060
213420_at,-0.494,0.060
213966_at,0.321,0.060
204478_s_at,-0.429,0.060
212207_at,-0.888,0.060
228033_at,0.545,0.060
206472_s_at,0.634,0.060
201870_at,0.646,0.060
216320_x_at,0.320,0.060
223025_s_at,0.917,0.060
241350_at,0.300,0.060
230820_at,-1.584,0.060
234734_s_at,-1.182,0.061
1556355_x_at,0.325,0.061
236622_at,-0.459,0.061
209998_at,-0.462,0.061
207642_at,0.372,0.061
211480_s_at,-0.496,0.061
209894_at,-0.376,0.061
219186_at,-0.411,0.061
202850_at,-0.508,0.061
233001_at,0.451,0.061
208632_at,0.444,0.061
223285_s_at,1.090,0.061
240359_at,0.393,0.061
76897_s_at,-0.340,0.061
224643_at,-0.657,0.061
211074_at,-0.627,0.061
231943_at,-0.257,0.061
235431_s_at,-0.372,0.061
205171_at,-1.992,0.061
1558953_s_at,-1.553,0.061
231610_at,-0.457,0.061
218124_at,-0.903,0.061
215719_x_at,1.945,0.061
211113_s_at,0.322,0.061
209644_x_at,0.519,0.061
1553399_a_at,0.824,0.061
225543_at,-0.666,0.061
219133_at,-0.780,0.061
230988_at,0.978,0.061
226233_at,-0.933,0.061
209020_at,0.231,0.061
1555814_a_at,0.779,0.061
242617_at,-1.108,0.061
205134_s_at,-1.786,0.061
222777_s_at,0.489,0.061
240163_at,0.775,0.061
1560058_at,-0.248,0.061
216430_x_at,2.325,0.061
218614_at,-0.369,0.061
218751_s_at,-1.232,0.061
215321_at,-0.482,0.061
1555520_at,-0.667,0.061
242552_x_at,0.395,0.061
213788_s_at,-0.302,0.061
1555288_s_at,0.258,0.061
242844_at,-0.493,0.061
225290_at,-0.688,0.061
219147_s_at,-0.572,0.061
218633_x_at,-0.365,0.061
236621_at,-1.081,0.061
209594_x_at,0.763,0.061
223103_at,1.212,0.061
205735_s_at,0.274,0.061
226779_at,-0.832,0.062
44669_at,-0.745,0.062
229320_at,0.909,0.062
230125_at,0.401,0.062
1552976_at,0.376,0.062
226056_at,-0.540,0.062
244661_at,-0.816,0.062
235200_at,-0.614,0.062
211947_s_at,-0.889,0.062
223894_s_at,0.473,0.062
235308_at,-2.832,0.062
229830_at,-0.286,0.062
236386_at,-0.388,0.062
227096_at,0.692,0.062
236875_at,-0.385,0.062
208550_x_at,0.440,0.062
218466_at,0.516,0.062
238518_x_at,0.393,0.062
205889_s_at,-0.749,0.062
225099_at,-0.246,0.062
229921_at,0.473,0.062
1557034_s_at,0.559,0.062
237099_at,0.683,0.062
222377_at,0.941,0.062
224066_s_at,0.408,0.062
209396_s_at,5.996,0.062
224926_at,-0.352,0.062
230855_at,0.668,0.062
222460_s_at,0.421,0.062
201732_s_at,-0.832,0.062
208897_s_at,-0.971,0.062
236033_at,0.737,0.062
1554863_s_at,0.669,0.062
211548_s_at,-1.363,0.062
228457_at,-0.882,0.062
1565752_at,-0.226,0.062
202368_s_at,-1.311,0.062
1557994_at,0.355,0.062
230579_at,-0.509,0.062
238050_at,-0.261,0.062
236401_at,-1.262,0.062
210580_x_at,-0.308,0.062
203330_s_at,0.489,0.062
227450_at,-0.559,0.062
244835_at,-0.270,0.062
238333_s_at,-1.244,0.062
202272_s_at,-0.620,0.063
224374_s_at,-0.343,0.063
227980_at,-0.758,0.063
215266_at,0.747,0.063
225525_at,-2.035,0.063
217427_s_at,-0.811,0.063
1555238_at,0.556,0.063
228352_at,0.777,0.063
1552615_at,1.015,0.063
208741_at,-0.647,0.063
222671_s_at,0.432,0.063
1559094_at,-0.267,0.063
239821_at,0.425,0.063
203639_s_at,0.841,0.063
205603_s_at,-0.466,0.063
1558426_x_at,0.679,0.063
219304_s_at,-2.928,0.063
228240_at,-1.520,0.063
235122_at,-1.357,0.063
207200_at,0.283,0.063
231553_s_at,0.531,0.063
201537_s_at,-0.242,0.063
202017_at,0.310,0.063
222512_at,-0.570,0.063
206414_s_at,-0.487,0.063
211570_s_at,0.349,0.063
230687_at,0.900,0.063
210284_s_at,1.098,0.063
203491_s_at,-1.080,0.063
1568718_at,1.312,0.063
224576_at,-0.626,0.063
214849_at,0.431,0.063
210974_s_at,-1.084,0.063
201551_s_at,1.501,0.063
241705_at,-0.309,0.063
1567257_at,0.835,0.063
232008_s_at,-1.622,0.063
236026_at,-0.306,0.063
224239_at,0.579,0.063
208915_s_at,0.235,0.063
229381_at,0.565,0.063
235623_at,-0.425,0.063
222752_s_at,-1.732,0.063
238860_at,-1.283,0.063
1568743_at,0.517,0.063
221277_s_at,-0.787,0.063
227908_at,-0.534,0.063
215606_s_at,-0.438,0.063
241715_x_at,0.527,0.063
235341_at,-0.303,0.063
240070_at,-1.177,0.063
231573_at,1.079,0.063
225286_at,-0.276,0.064
203533_s_at,-0.925,0.064
213641_at,-0.278,0.064
211708_s_at,0.580,0.064
223941_at,0.360,0.064
212881_at,-0.319,0.064
243382_at,0.799,0.064
214905_at,0.466,0.064
208442_s_at,-2.923,0.064
224397_s_at,-0.303,0.064
224955_at,-0.432,0.064
214190_x_at,0.394,0.064
1560149_at,1.546,0.064
210677_at,0.592,0.064
214525_x_at,-0.662,0.064
201654_s_at,0.673,0.064
1557795_s_at,0.959,0.064
1559479_at,-0.786,0.064
209711_at,-1.634,0.064
236017_at,-1.115,0.064
212699_at,0.641,0.064
1559237_a_at,0.507,0.064
244187_at,-0.307,0.064
209559_at,0.248,0.064
212078_s_at,-1.859,0.064
213421_x_at,0.356,0.064
231844_at,-0.756,0.064
216682_s_at,-0.393,0.064
208663_s_at,-1.634,0.064
217856_at,-1.236,0.064
203621_at,-0.454,0.064
1556901_s_at,0.444,0.064
207393_at,0.336,0.064
232740_at,-0.261,0.064
211792_s_at,0.371,0.064
1553015_a_at,1.290,0.064
212027_at,-0.572,0.064
235970_at,-0.826,0.064
211851_x_at,0.472,0.064
238535_at,0.472,0.064
204298_s_at,0.589,0.064
203394_s_at,0.309,0.064
243425_at,0.499,0.064
238903_at,0.351,0.064
209989_at,-1.242,0.064
228913_at,-0.635,0.064
237251_at,0.514,0.065
214840_at,0.484,0.065
204643_s_at,-1.068,0.065
206537_at,-0.653,0.065
222714_s_at,-0.287,0.065
223058_at,0.455,0.065
1563862_at,-0.396,0.065
208940_at,-0.769,0.065
231077_at,0.875,0.065
1555323_at,0.683,0.065
201663_s_at,0.395,0.065
239369_at,0.307,0.065
213698_at,-0.239,0.065
1559261_a_at,0.495,0.065
212936_at,-1.485,0.065
231814_at,0.710,0.065
1553594_a_at,0.262,0.065
230398_at,0.517,0.065
222028_at,-0.993,0.065
238530_at,-1.136,0.065
210099_at,0.826,0.065
225902_at,-1.153,0.065
222446_s_at,0.747,0.065
222628_s_at,-0.326,0.065
230955_s_at,0.336,0.065
228014_at,-0.669,0.065
231668_x_at,0.390,0.065
1554783_s_at,0.514,0.065
202938_x_at,0.302,0.065
239762_at,-1.573,0.065
1554393_a_at,0.472,0.065
209341_s_at,-0.479,0.065
224863_at,-0.292,0.065
1552811_at,0.641,0.065
